timestamp_us;participant;event;detail
1764782716891909;Huimin;SESSION_START;-
1764782716956142;Huimin;GET_READY;full_extension
1764782716956142;Huimin;AUTOPAUSE_NO_DATA;>0.75s
1764782716956142;Huimin;MOVE_ABORT;full_extension|USER_PAUSE
1764782716990169;Huimin;PAUSE;user
1764782743247708;Huimin;RESUME;user
1764782743312956;Huimin;GET_READY;mild_ulnar_flexion
1764782746331628;Huimin;MOVE_START;mild_ulnar_flexion
1764782749931160;Huimin;MOVE_END;mild_ulnar_flexion
1764782752676333;Huimin;GET_READY;mild_flexion
1764782755686266;Huimin;MOVE_START;mild_flexion
1764782758874801;Huimin;MOVE_END;mild_flexion
1764782762012539;Huimin;GET_READY;full_flexion
1764782765043912;Huimin;MOVE_START;full_flexion
1764782769744245;Huimin;MOVE_END;full_flexion
1764782772518828;Huimin;GET_READY;mild_radial_flexion
1764782775527544;Huimin;MOVE_START;mild_radial_flexion
1764782780495098;Huimin;MOVE_END;mild_radial_flexion
1764782783811295;Huimin;GET_READY;mild_extension
1764782786833568;Huimin;MOVE_START;mild_extension
1764782789318479;Huimin;MOVE_END;mild_extension
1764782791996931;Huimin;GET_READY;full_ulnar_flexion
1764782794994383;Huimin;MOVE_START;full_ulnar_flexion
1764782797455183;Huimin;MOVE_END;full_ulnar_flexion
1764782799821489;Huimin;GET_READY;full_radial_flexion
1764782802815395;Huimin;MOVE_START;full_radial_flexion
1764782806122243;Huimin;MOVE_END;full_radial_flexion
1764782810049830;Huimin;GET_READY;full_extension
1764782813057161;Huimin;MOVE_START;full_extension
1764782816085738;Huimin;MOVE_END;full_extension
1764782818915185;Huimin;GET_READY;mild_ulnar_flexion
1764782821900791;Huimin;MOVE_START;mild_ulnar_flexion
1764782824743996;Huimin;MOVE_END;mild_ulnar_flexion
1764782828473928;Huimin;GET_READY;full_ulnar_flexion
1764782831495385;Huimin;MOVE_START;full_ulnar_flexion
1764782836205336;Huimin;MOVE_END;full_ulnar_flexion
1764782839427890;Huimin;GET_READY;mild_radial_flexion
1764782842418109;Huimin;MOVE_START;mild_radial_flexion
1764782845821899;Huimin;MOVE_END;mild_radial_flexion
1764782848436250;Huimin;GET_READY;mild_extension
1764782851466042;Huimin;MOVE_START;mild_extension
1764782855433890;Huimin;MOVE_END;mild_extension
1764782858746626;Huimin;GET_READY;full_flexion
1764782861744431;Huimin;MOVE_START;full_flexion
1764782866056819;Huimin;MOVE_END;full_flexion
1764782868830140;Huimin;GET_READY;full_extension
1764782871853315;Huimin;MOVE_START;full_extension
1764782875927784;Huimin;MOVE_END;full_extension
1764782878777216;Huimin;GET_READY;mild_flexion
1764782881780965;Huimin;MOVE_START;mild_flexion
1764782884275661;Huimin;MOVE_END;mild_flexion
1764782886900145;Huimin;GET_READY;full_radial_flexion
1764782889928846;Huimin;MOVE_START;full_radial_flexion
1764782894385447;Huimin;MOVE_END;full_radial_flexion
1764782896472223;Huimin;GET_READY;full_extension
1764782899476432;Huimin;MOVE_START;full_extension
1764782903823161;Huimin;MOVE_END;full_extension
1764782907702850;Huimin;GET_READY;mild_flexion
1764782910702474;Huimin;MOVE_START;mild_flexion
1764782914868664;Huimin;MOVE_END;mild_flexion
1764782917181511;Huimin;GET_READY;mild_extension
1764782920192065;Huimin;MOVE_START;mild_extension
1764782923594165;Huimin;MOVE_END;mild_extension
1764782926773172;Huimin;GET_READY;mild_radial_flexion
1764782929759931;Huimin;MOVE_START;mild_radial_flexion
1764782932552848;Huimin;MOVE_END;mild_radial_flexion
1764782936559702;Huimin;GET_READY;full_radial_flexion
1764782939576623;Huimin;MOVE_START;full_radial_flexion
1764782943489648;Huimin;MOVE_END;full_radial_flexion
1764782945704992;Huimin;GET_READY;full_ulnar_flexion
1764782948714143;Huimin;MOVE_START;full_ulnar_flexion
1764782951433039;Huimin;MOVE_END;full_ulnar_flexion
1764782954849206;Huimin;GET_READY;full_flexion
1764782957871251;Huimin;MOVE_START;full_flexion
1764782962737791;Huimin;MOVE_END;full_flexion
1764782965537484;Huimin;GET_READY;mild_ulnar_flexion
1764782968548732;Huimin;MOVE_START;mild_ulnar_flexion
1764782972483367;Huimin;MOVE_END;mild_ulnar_flexion
1764782976056997;Huimin;GET_READY;mild_ulnar_flexion
1764782979082735;Huimin;MOVE_START;mild_ulnar_flexion
1764782982010554;Huimin;MOVE_END;mild_ulnar_flexion
1764782984797874;Huimin;GET_READY;full_ulnar_flexion
1764782987815851;Huimin;MOVE_START;full_ulnar_flexion
1764782989860141;Huimin;MOVE_END;full_ulnar_flexion
1764782993206318;Huimin;GET_READY;mild_flexion
1764782996229187;Huimin;MOVE_START;mild_flexion
1764782999789995;Huimin;MOVE_END;mild_flexion
1764783003290948;Huimin;GET_READY;full_radial_flexion
1764783006290537;Huimin;MOVE_START;full_radial_flexion
1764783009343687;Huimin;MOVE_END;full_radial_flexion
1764783011699854;Huimin;GET_READY;mild_radial_flexion
1764783014714936;Huimin;MOVE_START;mild_radial_flexion
1764783016431084;Huimin;MOVE_ABORT;mild_radial_flexion|STOPPED
1764783016462480;Huimin;SESSION_END;-
