timestamp_us;participant;event;detail
1759578592708143;Marwan;SESSION_START;—
1759578592731141;Marwan;GET_READY;mild_radial_flexion
1759578592731141;Marwan;AUTOPAUSE_NO_DATA;>0.75s
1759578592731141;Marwan;MOVE_ABORT;mild_radial_flexion|USER_PAUSE
1759578592746777;Marwan;PAUSE;user
1759578598456658;Marwan;RESUME;user
1759578598488437;Marwan;GET_READY;full_flexion
1759578598488437;Marwan;AUTOPAUSE_NO_DATA;>0.75s
1759578598488437;Marwan;MOVE_ABORT;full_flexion|USER_PAUSE
1759578598515671;Marwan;PAUSE;user
