timestamp_us;participant;state;active_label_id;active_label_name;stream_index;ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7
9174804;Marwan;PAUSED;0;rest;0;1;-5;-12;0;-3;0;-1;-2
9174804;Marwan;PAUSED;0;rest;0;-1;-2;-9;-4;-2;-3;-3;-2
9181640;Marwan;PAUSED;0;rest;1;0;1;-9;-7;0;-1;-3;-2
9181640;Marwan;PAUSED;0;rest;1;-2;-2;-4;11;1;-2;-1;-1
9188476;Marwan;PAUSED;0;rest;0;1;-1;10;-5;2;0;0;0
9188476;Marwan;PAUSED;0;rest;0;-1;3;1;5;-1;-2;0;-1
9194335;Marwan;PAUSED;0;rest;1;-3;0;-10;-9;-2;0;0;1
9194335;Marwan;PAUSED;0;rest;1;-4;4;11;3;1;2;1;1
9200195;Marwan;PAUSED;0;rest;3;-1;-7;4;2;1;0;-1;0
9200195;Marwan;PAUSED;0;rest;3;-10;2;-3;-1;-2;-2;-2;-2
9206054;Marwan;PAUSED;0;rest;0;-1;-7;2;-7;1;-1;-1;-1
9206054;Marwan;PAUSED;0;rest;0;-3;3;4;7;2;2;-2;-2
9211914;Marwan;PAUSED;0;rest;1;2;6;2;0;1;-4;-1;-1
9211914;Marwan;PAUSED;0;rest;1;-1;0;-9;-8;1;-1;-1;0
9218750;Marwan;PAUSED;0;rest;2;-3;-5;11;8;-5;-3;-1;-2
9218750;Marwan;PAUSED;0;rest;2;-4;1;10;0;-1;1;-1;-1
9229492;Marwan;PAUSED;0;rest;3;1;-15;10;1;-2;-1;-2;1
9229492;Marwan;PAUSED;0;rest;3;-2;-3;1;-10;-1;1;-2;-2
9235351;Marwan;PAUSED;0;rest;0;-5;-13;-21;-7;-1;-3;-1;-1
9235351;Marwan;PAUSED;0;rest;0;4;10;20;7;0;3;1;1
9244140;Marwan;PAUSED;0;rest;1;5;-8;3;1;-3;-2;-2;-2
9244140;Marwan;PAUSED;0;rest;1;-2;-1;-20;-1;-4;-1;-3;-1
9258789;Marwan;PAUSED;0;rest;2;-7;-19;-12;-10;-3;-2;-4;-3
9258789;Marwan;PAUSED;0;rest;2;-1;-5;-19;3;-3;-2;-2;-2
9265625;Marwan;PAUSED;0;rest;3;0;0;-19;-12;-3;0;1;-2
9265625;Marwan;PAUSED;0;rest;3;5;2;-17;5;1;1;1;2
9274414;Marwan;PAUSED;0;rest;0;1;1;5;3;0;-1;-2;-2
9274414;Marwan;PAUSED;0;rest;0;2;-1;9;-12;-3;0;-1;0
9289062;Marwan;PAUSED;0;rest;1;-6;-5;-9;6;-4;-3;-2;-3
9289062;Marwan;PAUSED;0;rest;1;1;1;29;10;0;-1;1;-1
9294921;Marwan;PAUSED;0;rest;2;-1;3;-29;-16;0;2;0;1
9294921;Marwan;PAUSED;0;rest;2;-8;2;-11;9;1;0;3;3
9303710;Marwan;PAUSED;0;rest;3;1;5;32;-2;1;3;3;2
9303710;Marwan;PAUSED;0;rest;3;-4;-5;-25;-8;-3;0;1;-1
9319335;Marwan;PAUSED;0;rest;0;3;8;24;11;3;2;-1;0
9319335;Marwan;PAUSED;0;rest;0;0;1;11;-2;0;-4;-1;-2
9325195;Marwan;PAUSED;0;rest;1;0;-1;-23;-9;0;-1;0;0
9325195;Marwan;PAUSED;0;rest;1;0;1;19;4;1;-1;-2;0
9333984;Marwan;PAUSED;0;rest;2;0;5;-8;2;1;-1;1;0
9333984;Marwan;PAUSED;0;rest;2;2;-8;-43;-6;1;1;-2;0
9348632;Marwan;PAUSED;0;rest;3;-3;4;8;0;-4;-4;0;1
9348632;Marwan;PAUSED;0;rest;3;3;1;5;-17;0;-1;-2;1
9354492;Marwan;PAUSED;0;rest;0;0;3;5;6;-1;-1;0;0
9354492;Marwan;PAUSED;0;rest;0;2;-7;15;11;-1;-1;-2;-1
9364257;Marwan;PAUSED;0;rest;1;2;0;-26;-16;2;1;-2;-1
9364257;Marwan;PAUSED;0;rest;1;-1;5;2;11;3;0;-2;0
9378906;Marwan;PAUSED;0;rest;2;-2;-5;-27;-8;-1;-1;-1;-3
9378906;Marwan;PAUSED;0;rest;2;1;5;72;3;-1;-1;3;1
9384765;Marwan;PAUSED;0;rest;3;-2;7;7;1;-1;0;2;0
9384765;Marwan;PAUSED;0;rest;3;7;-11;-5;-6;-2;-1;-3;-2
9409179;Marwan;PAUSED;0;rest;0;2;2;15;0;-1;0;0;2
9409179;Marwan;PAUSED;0;rest;0;1;0;-60;0;1;0;0;-1
9415039;Marwan;PAUSED;0;rest;1;-1;-2;20;8;0;0;0;-1
9415039;Marwan;PAUSED;0;rest;1;-5;-1;-20;-8;0;-1;0;-1
9420898;Marwan;PAUSED;0;rest;2;-5;-5;44;2;0;1;0;-1
9420898;Marwan;PAUSED;0;rest;2;-2;-5;-28;-1;2;-1;-2;-3
9427734;Marwan;PAUSED;0;rest;3;-1;1;28;5;-1;-2;-4;-3
9427734;Marwan;PAUSED;0;rest;3;-3;6;18;2;-2;-1;0;-2
9439453;Marwan;PAUSED;0;rest;0;9;-6;-9;-5;-2;-3;-1;-1
9439453;Marwan;PAUSED;0;rest;0;-2;-7;9;-6;0;1;0;-1
9445312;Marwan;PAUSED;0;rest;1;-1;16;-11;3;1;4;-1;1
9445312;Marwan;PAUSED;0;rest;1;-2;-3;17;-3;-4;-5;-4;-1
9454101;Marwan;PAUSED;0;rest;2;-3;14;0;-2;0;0;-2;-1
9454101;Marwan;PAUSED;0;rest;2;2;0;20;0;0;0;0;0
9468750;Marwan;PAUSED;0;rest;3;1;1;-39;12;1;2;-1;1
9468750;Marwan;PAUSED;0;rest;3;0;-5;4;-5;-1;-1;0;-2
