timestamp_us;participant;event;detail
1759671553420956;Sofiia;SESSION_START;-
1759671553444747;Sofiia;GET_READY;full_flexion
1759671553444747;Sofiia;AUTOPAUSE_NO_DATA;>0.75s
1759671553444747;Sofiia;MOVE_ABORT;full_flexion|USER_PAUSE
1759671553476586;Sofiia;PAUSE;user
1759671557195275;Sofiia;RESUME;user
1759671557224628;Sofiia;GET_READY;mild_ulnar_flexion
1759671557224628;Sofiia;AUTOPAUSE_NO_DATA;>0.75s
1759671557224628;Sofiia;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759671557256092;Sofiia;PAUSE;user
1759671570356470;Sofiia;RESUME;user
1759671570390563;Sofiia;GET_READY;mild_ulnar_flexion
1759671573390281;Sofiia;MOVE_START;mild_ulnar_flexion
1759671577455189;Sofiia;MOVE_END;mild_ulnar_flexion
1759671580168873;Sofiia;GET_READY;mild_extension
1759671583175969;Sofiia;MOVE_START;mild_extension
1759671586660404;Sofiia;MOVE_END;mild_extension
1759671589722313;Sofiia;GET_READY;mild_radial_flexion
1759671592719526;Sofiia;MOVE_START;mild_radial_flexion
1759671595032014;Sofiia;MOVE_END;mild_radial_flexion
1759671597913926;Sofiia;GET_READY;full_ulnar_flexion
1759671600911330;Sofiia;MOVE_START;full_ulnar_flexion
1759671605827635;Sofiia;MOVE_END;full_ulnar_flexion
1759671609206079;Sofiia;GET_READY;mild_flexion
1759671612227310;Sofiia;MOVE_START;mild_flexion
1759671616563560;Sofiia;MOVE_END;mild_flexion
1759671619251306;Sofiia;GET_READY;full_extension
1759671619588601;Sofiia;MOVE_ABORT;full_extension|USER_PAUSE
1759671619614256;Sofiia;PAUSE;user
1759671676683850;Sofiia;RESUME;user
1759671676715681;Sofiia;GET_READY;full_radial_flexion
1759671679715868;Sofiia;MOVE_START;full_radial_flexion
1759671683033734;Sofiia;MOVE_END;full_radial_flexion
1759671685257205;Sofiia;GET_READY;full_flexion
1759671688250891;Sofiia;MOVE_START;full_flexion
1759671692761815;Sofiia;MOVE_END;full_flexion
1759671695329319;Sofiia;GET_READY;full_extension
1759671698331945;Sofiia;MOVE_START;full_extension
1759671700614443;Sofiia;MOVE_END;full_extension
1759671703816462;Sofiia;GET_READY;mild_radial_flexion
1759671706824076;Sofiia;MOVE_START;mild_radial_flexion
1759671711076822;Sofiia;MOVE_END;mild_radial_flexion
1759671713959763;Sofiia;GET_READY;mild_extension
1759671716954882;Sofiia;MOVE_START;mild_extension
1759671719532135;Sofiia;MOVE_END;mild_extension
