timestamp_us;participant;event;detail
1759579925470431;Marwan;SESSION_START;-
1759579925481152;Marwan;GET_READY;full_flexion
1759579925493005;Marwan;AUTOPAUSE_NO_DATA;>0.75s
1759579925493005;Marwan;MOVE_ABORT;full_flexion|USER_PAUSE
1759579925518244;Marwan;PAUSE;user
1759579928060930;Marwan;RESUME;user
1759579928082813;Marwan;GET_READY;mild_extension
1759579928082813;Marwan;AUTOPAUSE_NO_DATA;>0.75s
1759579928082813;Marwan;MOVE_ABORT;mild_extension|USER_PAUSE
1759579928108449;Marwan;PAUSE;user
1759579946340032;Marwan;RESUME;user
1759579946355874;Marwan;GET_READY;mild_extension
1759579949354954;Marwan;MOVE_START;mild_extension
1759579952361767;Marwan;MOVE_END;mild_extension
1759579954479203;Marwan;GET_READY;full_extension
1759579957477276;Marwan;MOVE_START;full_extension
1759579961447058;Marwan;MOVE_END;full_extension
1759579964734688;Marwan;GET_READY;full_flexion
1759579967749303;Marwan;MOVE_START;full_flexion
1759579970473085;Marwan;MOVE_END;full_flexion
1759579972522912;Marwan;GET_READY;mild_ulnar_flexion
1759579975531367;Marwan;MOVE_START;mild_ulnar_flexion
1759579979563490;Marwan;MOVE_END;mild_ulnar_flexion
1759579981962154;Marwan;GET_READY;full_radial_flexion
1759579984957837;Marwan;MOVE_START;full_radial_flexion
1759579987768821;Marwan;MOVE_END;full_radial_flexion
1759579990698314;Marwan;GET_READY;mild_flexion
1759579993690253;Marwan;MOVE_START;mild_flexion
1759579996653249;Marwan;MOVE_END;mild_flexion
1759580000654891;Marwan;GET_READY;mild_radial_flexion
1759580003644640;Marwan;MOVE_START;mild_radial_flexion
1759580006466981;Marwan;MOVE_END;mild_radial_flexion
1759580009027299;Marwan;GET_READY;full_ulnar_flexion
1759580012021302;Marwan;MOVE_START;full_ulnar_flexion
1759580014891603;Marwan;MOVE_END;full_ulnar_flexion
1759580018394315;Marwan;GET_READY;full_extension
1759580021396566;Marwan;MOVE_START;full_extension
1759580024694695;Marwan;MOVE_END;full_extension
1759580028337863;Marwan;GET_READY;mild_ulnar_flexion
1759580031335243;Marwan;MOVE_START;mild_ulnar_flexion
1759580035430365;Marwan;MOVE_END;mild_ulnar_flexion
1759580038062711;Marwan;GET_READY;mild_extension
1759580041075346;Marwan;MOVE_START;mild_extension
1759580044294013;Marwan;MOVE_END;mild_extension
1759580048093347;Marwan;GET_READY;mild_radial_flexion
1759580051108247;Marwan;MOVE_START;mild_radial_flexion
1759580053658674;Marwan;MOVE_END;mild_radial_flexion
1759580056939214;Marwan;GET_READY;mild_flexion
1759580059950708;Marwan;MOVE_START;mild_flexion
1759580064800557;Marwan;MOVE_END;mild_flexion
1759580068319588;Marwan;GET_READY;full_flexion
1759580071317892;Marwan;MOVE_START;full_flexion
1759580073937460;Marwan;MOVE_END;full_flexion
1759580076187162;Marwan;GET_READY;full_radial_flexion
1759580079202150;Marwan;MOVE_START;full_radial_flexion
1759580082920162;Marwan;MOVE_END;full_radial_flexion
1759580086010434;Marwan;GET_READY;full_ulnar_flexion
1759580089001739;Marwan;MOVE_START;full_ulnar_flexion
1759580092602608;Marwan;MOVE_END;full_ulnar_flexion
1759580095865662;Marwan;GET_READY;mild_extension
1759580098874163;Marwan;MOVE_START;mild_extension
1759580103000989;Marwan;MOVE_END;mild_extension
1759580106096057;Marwan;GET_READY;full_flexion
1759580109104451;Marwan;MOVE_START;full_flexion
1759580111971929;Marwan;MOVE_END;full_flexion
1759580115749446;Marwan;GET_READY;full_radial_flexion
1759580118746455;Marwan;MOVE_START;full_radial_flexion
1759580123298866;Marwan;MOVE_END;full_radial_flexion
1759580127251609;Marwan;GET_READY;full_ulnar_flexion
1759580130261902;Marwan;MOVE_START;full_ulnar_flexion
1759580134203124;Marwan;MOVE_END;full_ulnar_flexion
1759580137403606;Marwan;GET_READY;mild_flexion
1759580140399384;Marwan;MOVE_START;mild_flexion
1759580144191134;Marwan;MOVE_END;mild_flexion
1759580147521832;Marwan;GET_READY;full_extension
1759580150519077;Marwan;MOVE_START;full_extension
1759580153782151;Marwan;MOVE_END;full_extension
1759580156385528;Marwan;GET_READY;mild_ulnar_flexion
1759580159379161;Marwan;MOVE_START;mild_ulnar_flexion
1759580162024336;Marwan;MOVE_END;mild_ulnar_flexion
1759580164424593;Marwan;GET_READY;mild_radial_flexion
